"id","name","username","password","email","mobile_number","location","landmark","district","state","country","pincode","image","aadhar_number","aadhar_verified","email_verified","mobile_verified","role","status","creation_date"
16,"Abhay pandey","AK Pandey","1","abhay1234@gmail.com","9455893872","ADA ","market","prayagraj","uttar pradesh","India","211024",NULL,"541653215454",True,True,True,"seller","active","2023-05-15 19:27:32"
10,"Abhay","Abhay","Abhay1234","abhay@gmail.com","9876543210",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,True,True,"delivery_boy","active","2023-05-14 12:48:53"
9,"admin","admin","1","admin@gmail.com","7348657379",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,True,True,"admin","active","2023-05-14 12:41:49"
17,"anand","anand1","Anandmishra@123","anand@gmail.com","8824932021",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,False,False,"user","active","2023-05-23 14:42:19"
19,"anand","anand123","Anandmishra@123","anand22@gmail.com","8824932023",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,True,True,"seller","active","2023-05-23 15:06:37"
18,"anand","anand11","Anandmishra@123","anand1@gmail.com","8824932023","ADA Naini","allahabad","prayagraj","uttar pradesh","India","224159",NULL,"455654344453",True,True,True,"user","active","2023-05-23 14:52:04"
20,"ankit","ankit1","Ankit@123","ankit123@gmail.com","9655598465",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,True,True,"user","active","2023-05-26 11:26:27"
21,"AnkitM","ankitm","Ankitm@123","ankitm123@gmail.com","9455846156",NULL,NULL,NULL,NULL,"India",NULL,NULL,NULL,False,True,True,"user","active","2023-05-26 11:30:40"
22,"AbhishekM","abhishekm","Abhishekm@123","abhishekm123@gmail.com","8961446515","ADA Nani","market","prayagraj","uttar pradesh","India","211024",NULL,"331653215454",True,True,True,"seller","active","2023-05-26 11:33:17"
7,"Abhi","abhi","Abhi1234","a123@gmail.com","7348657379","A","A","a","up","India","123456",NULL,"123456789123",True,True,True,"seller","blocked","2023-05-14 12:25:34"
8,"Amit","Amit","Amit1234","amit@gmail.com","7348657379","B","b","allahabad","up","India","211024",NULL,"123456789632",True,True,True,"user","active","2023-05-14 12:35:29"
